Roadway Name,Date,AM,PM
OCEAN TERRACE,2012-01-12,109.375,187.58333333333334
PARK AVENUE,2012-01-12,105.625,196
POST AVENUE,2012-01-12,159.04166666666666,338.9166666666667
PUTNAM AVE,2012-01-12,62.83333333333333,94.33333333333333
QUINCY ST,2012-01-12,40.20833333333333,73.70833333333333
RALPH AVE,2012-01-12,133.83333333333331,221.04166666666669
RICHMOND AVENUE,2012-01-12,332.5,634.9166666666667
RICHMOND ROAD,2012-01-12,248.625,437.95833333333337
ROCKAWAY AVE,2012-01-12,137.91666666666669,220.5
Richmond Ter,2012-01-12,237.91666666666669,337.3333333333333
SMITH ST,2012-01-12,252.5,321.4166666666667
STUYVESANT AVENUE,2012-01-12,133.83333333333334,271.5
TARGEE ST,2012-01-12,493.25,635.25
THROOP AVENUE,2012-01-12,143.79166666666666,219.5
TODT HILL RD,2012-01-12,265.625,491.45833333333337
TOMPKINS AVE,2012-01-12,226.75,417.5
TRAVIS AVENUE,2012-01-12,190.04166666666666,393.83333333333337
UNION AVENUE,2012-01-12,170.33333333333331,258.0416666666667
UNION ST,2012-01-12,134.58333333333334,237.5833333333333
VAN BRUNT ST,2012-01-12,151.75,171.58333333333334
VAN DUZER STREET,2012-01-12,266.375,449.125
VANDERBILT AVE,2012-01-12,193.79166666666669,276.7083333333333
VICTORY BOULEVARD,2012-01-12,313.5833333333333,551.3194444444445
WASHINGTON AVE,2012-01-12,73.41666666666667,117.41666666666666
WILLOWBROOK ROAD,2012-01-12,30.458333333333336,47.75
WOODROW ROAD,2012-01-12,107.33333333333334,202.375
WOOLLEY AVENUE,2012-01-12,249.41666666666669,421.0416666666667
8 AVE,2012-01-13,202.56249999999997,545.440630164967
AMBOY ROAD,2012-01-13,205.04166666666666,361.7083333333333
ANNADALE ROAD,2012-01-13,54.66666666666667,97.625
ARDEN AVENUE,2012-01-13,162.66666666666669,277.20833333333337
ARTHUR KILL ROAD,2012-01-13,165.6875,226.29166666666666
Amboy Rd,2012-01-13,276.9166666666667,437.5833333333333
BAY ST,2012-01-13,239.41666666666669,390.4166666666667
BEACH STREET,2012-01-13,63.33333333333333,113.5
BLOOMINGDALE ROAD,2012-01-13,146.33333333333331,238.08333333333331
BRADLEY AVENUE,2012-01-13,173.95833333333331,333.625
BRIELLE AVENUE,2012-01-13,123.66666666666667,225.16666666666669
CASTLETON AVENUE,2012-01-13,134.16666666666669,276.2083333333333
CLOVE RD,2012-01-13,172.08333333333331,285.1666666666667
DRUMGOOLE ROAD EAST,2012-01-13,47.70833333333333,49.16666666666667
DRUMGOOLE ROAD WEST,2012-01-13,52.5,99.16666666666667
Delafield Ave,2012-01-13,56.875,100.54166666666667
FOSTER ROAD,2012-01-13,142.95833333333331,252.33333333333331
FRANKLIN AV,2012-01-13,256.1666666666667,95
FRANKLIN AVE,2012-01-13,274.25,251.83333333333334
FULTON AVENUE,2012-01-13,191.875,545.440630164967
Forest Ave,2012-01-13,273.9583333333333,556.4791666666667
GRAHAM AVENUE,2012-01-13,71.58333333333334,0
GREENE AVENUE,2012-01-13,41.166666666666664,0
GREENPOINT AVENUE,2012-01-13,89.04166666666666,0
HUGUENOT AVENUE,2012-01-13,176.375,271.125
HUMBOLDT STREET,2012-01-13,73.41666666666667,0
HYLAN BLVD,2012-01-13,298.95833333333337,502.1666666666667
KENT AVENUE,2012-01-13,117,0
KINGSLAND AVENUE,2012-01-13,124.25,0
KINGSTON AVE,2012-01-13,157.5,141.66666666666666
LEWIS AVE,2012-01-13,151.16666666666666,0
LITTLE CLOVE ROAD,2012-01-13,92.45833333333334,201.41666666666669
MALCOLM X BLVD,2012-01-13,133.83333333333331,0
MANOR RD,2012-01-13,181.35416666666666,337.50000000000006
MARCUS GARVEY BLVD,2012-01-13,270.9166666666667,325.4166666666667
MARCY AVENUE,2012-01-13,239.33333333333334,224.08333333333334
MORGAN AVE,2012-01-13,168.25,0
NARROWS ROAD SOUTH,2012-01-13,57.666666666666664,100.75
NEW YORK AVE,2012-01-13,246.66666666666666,189.83333333333334
OCEAN TERRACE,2012-01-13,103.08333333333333,184.66666666666666
PARK AVENUE,2012-01-13,96.125,0
POST AVENUE,2012-01-13,169.29166666666666,354.25
PUTNAM AVE,2012-01-13,64.29166666666667,20.791666666666664
QUINCY ST,2012-01-13,39.833333333333336,44.833333333333336
RALPH AVE,2012-01-13,110.41666666666667,0
RICHMOND AVENUE,2012-01-13,347.70833333333337,706.1666666666667
RICHMOND ROAD,2012-01-13,35.5,0
ROCKAWAY AVE,2012-01-13,120.91666666666667,0
Richmond Ter,2012-01-13,222.85416666666669,315.0833333333333
SMITH ST,2012-01-13,253.33333333333334,40.666666666666664
STUYVESANT AVENUE,2012-01-13,110.58333333333333,0
